author_id	proper_name	dates
321	Цзя И	(201-169 до н.э.)
322	Цзя Чжи	(718-772)
323	Цзян Гуанцы	(1901-1931)
324	Цзян Кэчэн	(XVII в.)
325	Цзян Хэ	(1949-ныне)
326	Цзян Цайюнь	(1992-ныне)
327	Цзян Шицюань	(1725-1784)
328	Цзяожань	(734?-790?)
329	Цинь Гуань	(1049 - 1110)
330	Цуй Гофу	(первая половина VIII в.)
331	Цуй Хао	(700?-754?)
332	Цуй Шу	(VIII в.)
333	Цэнь Шэнь	(715 - 770)
334	Цю Цзинь	(1875-1907)
335	Цю Чи	(период Шести династий)
336	Цюй Цюбо	(1899-1935)
337	Цюй Юань	(ок. 340-278 до н. э.)
338	Цюй Юйчжи	(ок. 1200)
339	Цянь Тао	(начало II века)
340	Цянь Ци	(722-780)
341	Цяо Цзи	(1280 - 1345)
342	Чан Яо	(1936-2001)
343	Чао Дуаньли	(1046-1113)
344	Чжан Кэцзю	(1275-1345?)
345	Чжан Лэй	(1054-1114)
346	Чжан Се	(?-307)
347	Чжан Сюй	(675?-750)
348	Чжан Сянь	(990-1078)
349	Чжан Хуа	(232-300)
350	Чжан Хуэймоу	(1958-ныне)
351	Чжан Цзи	(725?-780?)
352	Чжан Цзыян	(1956-ныне)
353	Чжан Цзюлин	(673-740)
354	Чжан Чжихао	(1965-ныне)
355	Чжан Чжу	(1286-1368)
356	Чжан Ю	(800? - 859)
357	Чжан Юй	(1333-1385)
358	Чжан Юэ	(667-730)
359	Чжан Янь	(Династия Тан)
360	Чжао Вопэй	(XIX в.)
361	Чжао Цзя	(810? – 860?)
362	Чжао Циньси	(1790-1847)
363	Чжао Шисю	(ок. 1170 – после 1225)
364	Чжао Юй	(вторая половина XIV в.)
365	Чжоу Банъянь	(1057 - 1121)
366	Чжоу Бида	(1126-1204)
367	Чжоу Тункуань	(1966-ныне)
368	Чжу Дуньжу	(1081-1159)
369	Чжу Ицзунь	(1629-1709)
370	Чжу Сян	(1904-1933)
371	Чжу Тинъюй	(эпоха Юань)
372	Чжу Цзыцин	(1898-1948)
373	Чжу Цзянь	(XX в.)
374	Чжу Цинъюй	(первая половина IX в.)
375	Чжу Цюнян	(XII в.)
376	Чжу Шучжэнь	(1135?-1180?)
377	Чжэнь Сяоцюн	(1980-ныне)
378	Чжэн Чжишэн	(XVII в.)
379	Чжэн Чжэньдо	(1898–1968)
380	Чу Гуанси	(707-760?)
381	Чэн Цзясуй	(1565-1643)
382	Чэн Шидао	(1053 - 1102)
383	Чэнь Гунинь	(1631-1700)
384	Чэнь Дун	(1966-ныне)
385	Чэнь Исю	(XVI в.)
386	Чэнь Маосинь	(XX в.)
387	Чэнь Мэнцзя	(1911-1966)
388	Чэнь Цзыан	(661-702)
389	Чэнь Шинюй	(Династия Мин)
390	Чэнь Юаньпин	(ок. 1240)
391	Чэнь Юйи	(1090 - 1138)
392	Ша Оу	(1922-1994)
393	Шао Сюньмэй	(1903-1968)
394	Шао Сянчжэнь	(1309-1401)
395	Шао Яньсян	(1933-ныне)
396	Ши Бинь	(1969-ныне)
397	Ши Вэйла	(2003-ныне)
398	Ши У	(XVII в.)
399	Ши Чжи	(1948-?)
400	Шу Тин	(1952-ныне)
